id,total_pop,total_men,total_women,houses,households,orthodox,orthodox_perc,rcatholic,rcatholic_perc,protestant,protestant_perc,muslim,muslim_perc,other_rel,other_rel_perc,srb_cro_svn,srb_cro_svn_perc,othr_slavic,othr_slavic_perc,hungarian,hungarian_perc,german,german_perc,albanian,albanian_perc,other_lang,other_lang_perc,age1,age2,age3,age4,age5,age1_perc,age2_perc,age3_perc,age4_perc,age5_perc,illiteracy_perc,illiteracy11_19_perc,illiteracy20_39_perc,illiteracy40_59_perc,illiteracy_60_perc,illiteracy_m_perc,illiteracy_f_perc,illiteracy_m_11_19_perc,illiteracy_f_11_19_perc,illiteracy_m_20_39_perc,illiteracy_f_20_39_perc,illiteracy_m_40_59_perc,illiteracy_f_40_59_perc,illiteracy_m_60_perc,illiteracy_f_60_perc,employed_agriculture,employed_agriculture_perc,employed_agriculture_men,employed_agriculture_men_perc,employed_agriculture_women,employed_agriculture_women_perc,employed_industry,employed_industry_perc,employed_industry_men,employed_industry_men_perc,employed_industry_women,employed_industry_women_perc,employed_commerce,employed_commerce_perc,employed_commerce_men,employed_commerce_men_perc,employed_commerce_women,employed_commerce_women_perc,employed_public_service,employed_public_service_perc,employed_public_service_men,employed_public_service_men_perc,employed_public_service_women,employed_public_service_women_perc,employed_other,employed_other_perc,employed_other_men,employed_other_men_perc,employed_other_women,employed_other_women_perc,employed_total,employed_men,employed_women,"srez,C,80"
1,33551,16288,17263,5978,6676,20,0.1,33490,99.8,20,0.1,4,0,17,0.051,33304,99.26,70,0.21,4,0.01,165,0.49,0,0,8,0.02,8748,5028,9819,6109,3847,26.1,15,29.3,18.2,11.5,5.5,1.213206046,2.148894999,5.025372401,20.22355082,4.6,6.2,1.1,1.3,2.5,1.9,3.8,6,15.8,24.7,13043,75.99930078,7696,70.67682983,5347,85.23832297,2475,14.42139611,2088,19.17531454,387,6.169296987,699,4.07295187,597,5.482597116,102,1.62601626,457,2.662859807,316,2.902011204,141,2.24772836,488,2.843491435,192,1.763247314,296,4.718635422,17162,10889,6273,BREŽICE
2,59176,28413,30763,10312,12311,82,0.1,58946,99.6,110,0.2,9,0,29,0.049,58407,98.7,152,0.26,26,0.04,561,0.95,1,0.002,29,0.05,14397,8858,18102,11110,6709,24.3,15,30.6,18.8,11.3,4.7,1.46759991,2.182079328,4.473447345,15.88910419,4.5,4.8,1.5,1.4,2.4,2,4.4,4.5,14.4,17.3,19494,61.71721649,10578,55.0679369,8916,72.03684253,8185,25.91337935,6111,31.81321256,2074,16.75688778,1335,4.226556069,938,4.883127701,397,3.207562414,672,2.127524853,478,2.488416888,194,1.567423447,1720,5.445450516,924,4.810245198,796,6.431283833,31586,19209,12377,CELJE
3,16741,7764,8977,3225,3357,202,1.2,16501,98.6,1,0,6,0,31,0.185,16027,95.74,25,0.15,16,0.1,566,3.38,0,0,107,0.64,4897,2509,4701,2718,1916,29.3,15,28.1,16.2,11.4,5.1,1.634117178,2.042118698,3.863134658,18.99791232,3.9,6.1,1,2.3,2.3,1.8,4.4,3.5,12.2,23.8,76,1.746724891,42,1.413189771,34,2.46555475,1386,31.85474604,955,32.13324361,431,31.25453227,772,17.74304758,583,19.61641992,189,13.70558376,1193,27.41898414,944,31.76312248,249,18.05656273,924,21.23649736,448,15.07402423,476,34.5177665,4351,2972,1379,ČRNOMELJ
4,38120,18313,19807,7029,7677,79,0.2,37134,97.4,694,1.8,3,0,210,0.551,32286,84.7,51,0.13,5646,14.81,86,0.23,0,0,51,0.13,9865,5798,10995,7353,4109,25.9,15.2,28.8,19.3,10.8,9.2,1.483270093,3.256025466,10.62151503,33.19542468,7.8,10.4,1.9,1.1,3.2,3.3,8.5,12.2,26.1,40.5,7075,80.92188036,3679,75.74634548,3396,87.39063304,928,10.61420565,771,15.87399629,157,4.040144107,213,2.436234702,155,3.191270331,58,1.492537313,205,2.344732929,128,2.635371629,77,1.981471951,322,3.682946357,124,2.553016265,198,5.095213587,8743,4857,3886,DOLNJA LENDAVA
5,32358,16227,16131,4381,6316,69,0.2,32194,99.5,85,0.3,1,0,9,0.028,31249,96.57,56,0.17,2,0.01,1037,3.2,0,0,14,0.04,8630,4763,9762,5991,3212,26.7,14.7,30.2,18.5,9.9,13,3.254251522,6.013112067,17.67651477,39.9750934,11.8,14.2,3.4,3.1,5.6,6.4,15.5,19.8,35.9,44.3,18022,87.83507164,10484,85.18729179,7538,91.80367799,1478,7.203431134,1218,9.896806695,260,3.166483985,321,1.564479969,228,1.852604209,93,1.132626964,443,2.159079832,287,2.332006175,156,1.899890391,254,1.237937421,90,0.731291135,164,1.997320667,20518,12307,8211,DRAVOGRAD
6,17584,8500,9084,2985,3339,8,0,17574,99.9,2,0,0,0,0,0,17543,99.77,11,0.06,0,0,29,0.16,0,0,1,0.01,4629,2424,5395,2929,2207,26.3,13.8,30.7,16.7,12.6,9.2,4.372937294,4.37442076,9.935131444,25.46443135,8.7,9.7,5.6,3.2,4.3,4.4,8.4,11,23.5,27.2,10121,59.42692737,5529,50.34602076,4592,75.91337411,4594,26.97434091,3929,35.77672555,665,10.99355265,712,4.180611825,570,5.190311419,142,2.347495454,528,3.100228994,378,3.441995993,150,2.479748719,1076,6.317890905,576,5.244946276,500,8.265829063,17031,10982,6049,GORNJI GRAD
7,39570,18759,20811,6996,7697,55,0.1,39483,99.8,17,0,8,0,7,0.018,39280,99.27,63,0.16,1,0,220,0.56,1,0.003,5,0.01,10718,5915,11947,6802,4188,27.1,14.9,30.2,17.2,10.6,5.3,1.301775148,1.715911944,5.792413996,20.10506208,5.5,5.1,1.7,0.9,2.1,1.4,6.1,5.6,20.9,19.4,6893,70.75549169,3604,62.18081435,3289,83.35022808,1923,19.73927325,1633,28.17460317,290,7.349214394,358,3.674810101,254,4.382332643,104,2.635580335,222,2.278792856,137,2.363699103,85,2.154080081,442,4.537056046,168,2.898550725,274,6.943740497,9742,5796,3946,KAMNIK
8,37954,18389,19565,7502,8112,47,0.1,37881,99.8,12,0,2,0,12,0.032,29015,76.45,78,0.21,4,0.01,8819,23.24,0,0,38,0.1,9976,5822,10677,6394,5085,26.3,15.3,28.1,16.8,13.4,5,1.116454827,1.891917205,5.08289021,16.10619469,4.5,5.6,1.1,1.1,2.1,1.7,4.6,5.5,13.7,18.2,12887,61.27912506,6817,55.56732964,6070,69.27642091,5729,27.24203519,4220,34.39843495,1509,17.22209541,696,3.309557775,451,3.676230844,245,2.796165259,662,3.147883975,350,2.852950766,312,3.560830861,1056,5.021398003,430,3.505053799,626,7.14448756,21030,12268,8762,KOČEVJE
9,21234,10294,10940,3840,4234,21,0.1,21198,99.8,10,0,2,0,3,0.014,20881,98.34,36,0.17,4,0.02,308,1.45,0,0,5,0.02,5708,3193,5903,4018,2412,26.9,15,27.8,18.9,11.4,6.9,2.505480739,3.794680671,6.893977103,20.43946932,6.9,6.9,2.1,2.9,4.4,3.2,6.8,7,19.3,21.5,13427,68.06752509,7764,64.81883453,5663,73.08982963,3692,18.71641488,2859,23.86875939,833,10.75116159,706,3.579032749,502,4.191016864,204,2.632937532,561,2.843962283,321,2.679913174,240,3.097573567,1340,6.79306499,532,4.441476039,808,10.42849768,19726,11978,7748,KONJICE
10,59221,27952,31269,9526,11843,365,0.6,58602,99,71,0.1,66,0.1,117,0.198,58504,98.79,279,0.47,15,0.03,371,0.63,21,0.035,31,0.05,14932,8752,19754,10080,5703,25.2,14.8,33.4,17,9.6,5.7,1.131170018,1.695859067,7.251984127,23.96984043,6.3,5.2,1.5,0.8,2.5,1,8,6.7,25.2,23,8557,74.55131556,4869,70.55499203,3688,80.57679703,1692,14.74124412,1390,20.1420084,302,6.598208433,353,3.075448684,247,3.579191422,106,2.315927463,267,2.326189232,149,2.159107376,118,2.578107931,609,5.305802405,246,3.564700768,363,7.930959144,11478,6901,4577,KRANJ
11,55252,26181,29071,10416,10911,26,0,55184,99.9,9,0,0,0,33,0.06,55020,99.58,60,0.11,3,0.01,133,0.24,0,0,36,0.07,15547,8132,16340,9089,6144,28.1,14.7,29.6,16.5,11.1,6.9,1.537137236,2.086903305,7.349543404,26.07421875,7,6.8,1.7,1.3,2.7,1.5,7.4,7.3,24.4,27.7,15769,48.58577767,8457,44.78157268,7312,53.8795962,11948,36.81291595,7887,41.76330421,4061,29.92410287,1507,4.643209268,885,4.686258936,622,4.583302631,1534,4.726398817,1010,5.348159915,524,3.861174563,1698,5.231698299,646,3.420704263,1052,7.751823742,32456,18885,13571,KRŠKO
12,34386,17312,17074,4041,7240,58,0.2,34220,99.5,72,0.2,7,0,29,0.084,33989,98.85,104,0.3,14,0.04,270,0.79,0,0,9,0.03,9521,4895,10982,6056,2932,27.7,14.2,31.9,17.6,8.5,5.7,1.307456588,1.730103806,6.968295905,25.64802183,5.6,5.9,1.3,1.3,1.8,1.7,6.7,7.2,25.5,25.8,22307,77.80606906,12645,74.87121795,9662,82.01341143,3422,11.93582142,2742,16.2354195,680,5.772005772,662,2.309033833,441,2.611167032,221,1.875901876,734,2.560167422,418,2.474983717,316,2.682285035,1555,5.423787932,653,3.866421931,902,7.656395892,28670,16889,11781,LAŠKO
13,39821,19134,20687,6586,8107,26,0.1,39771,99.9,19,0,0,0,5,0.013,39641,99.55,52,0.13,2,0.01,114,0.29,0,0,12,0.03,11278,5922,11776,6731,4114,28.3,14.9,29.6,16.9,10.3,5.2,0.607902736,1.188858696,5.407814589,22.63004375,5.5,4.8,0.7,0.5,1.5,0.9,6.8,4.4,22.9,22.4,5796,35.42354235,3058,26.77289441,2738,55.42510121,7507,45.88069918,6430,56.29486955,1077,21.80161943,946,5.78168928,757,6.627560847,189,3.825910931,454,2.774721917,241,2.109963229,213,4.311740891,1659,10.13934727,936,8.194711959,723,14.63562753,16362,11422,4940,LITIJA
14,79519,38936,40583,11937,16350,279,0.4,79081,99.4,88,0.1,45,0.1,26,0.033,78786,99.08,246,0.31,15,0.02,407,0.51,17,0.021,48,0.06,20296,12393,26482,13294,7054,25.5,15.6,33.3,16.7,8.9,3.3,0.685871056,0.978022808,3.550473898,16.54380493,3.3,3.4,0.8,0.6,1.2,0.7,3.7,3.4,16.5,16.6,13363,65.7272146,7553,61.14304218,5810,72.82526949,4161,20.46628302,3221,26.07463774,940,11.7824016,806,3.964389356,568,4.598073343,238,2.98320381,476,2.341252275,293,2.371893467,183,2.293807972,1525,7.500860755,718,5.812353275,807,10.11531712,20331,12353,7978,LJUBLJANA
15,41381,19643,21738,8084,8551,71,0.2,40961,99,323,0.8,0,0,26,0.063,38524,93.1,97,0.23,19,0.05,2721,6.58,0,0,20,0.05,10791,5946,11932,7770,4942,26.1,14.4,28.8,18.8,11.9,4.8,1.833165153,2.355011733,5.173745174,13.43585593,3.9,5.6,2,1.6,2.2,2.5,4.2,5.9,9.7,16.7,18086,43.01172442,10047,38.51343581,8039,50.36336299,14083,33.49187852,10076,38.62460229,4007,25.1033705,3616,8.59949107,2665,10.21581631,951,5.957900013,1869,4.444814383,1262,4.837658604,607,3.802781606,4395,10.45209161,2037,7.808486986,2358,14.77258489,42049,26087,15962,LJUTOMER
16,27439,13536,13903,4822,5566,255,0.9,27167,99,7,0,3,0,7,0.026,27334,99.62,49,0.18,0,0,43,0.16,1,0.004,12,0.04,7308,3989,8307,4483,3352,26.6,14.5,30.3,16.3,12.2,4.5,0.977688644,1.276032262,3.702877537,17.60143198,4.8,4.2,1.2,0.8,1.9,0.7,4.1,3.4,17.1,18.1,743,2.104756239,475,2.306945119,268,1.821766025,10152,28.75839211,6485,31.49587178,3667,24.92692543,7486,21.20619812,4523,21.96697426,2963,20.1413908,8335,23.61122914,5325,25.86206897,3010,20.46087961,8855,25.08427523,3782,18.36813987,5073,34.48439943,35301,20590,14711,LOGATEC
17,54656,26189,28688,10060,10920,222,0.4,54223,99.2,161,0.3,9,0,41,0.075,53400,97.7,180,0.33,45,0.08,991,1.81,0,0,40,0.07,13834,7641,16967,10602,5612,25.3,14,31,19.4,10.3,5.3,1.505038608,2.257323039,3.857762686,15.93014968,4.2,4.6,1.7,1.3,2.5,2,4,3.8,13,18.7,18493,81.0456657,10348,77.38558181,8145,86.22697438,2271,9.952668946,1853,13.85731379,418,4.425153504,485,2.125514944,350,2.617409512,135,1.429176371,519,2.274520116,346,2.587496261,173,1.831463053,1050,4.601630292,475,3.552198624,575,6.087232691,22818,13372,9446,"MARIBOR, DESNI BREG"
18,54877,16473,16658,1883,7619,342,0.6,54153,98.7,361,0.7,1,0,20,0.036,52782,96.18,378,0.69,19,0.03,1681,3.06,0,0,17,0.03,14576,7510,16273,10171,6347,26.6,13.7,29.7,18.5,11.6,2.6,1.997336884,2.562526885,5.279716842,16.4014495,5.1,5.6,2.5,1.5,2.9,2.3,4.8,5.7,14.3,18.3,9241,63.74862031,5257,57.84551056,3984,73.66863905,2826,19.49503311,2223,24.46082746,603,11.15014793,798,5.504966887,607,6.679137324,191,3.531804734,782,5.394591611,611,6.723151408,171,3.161982249,849,5.856788079,390,4.291373239,459,8.487426036,14496,9088,5408,"MARIBOR, LEVI BREG"
19,7602,3828,3774,395,1628,337,4.4,6967,91.6,164,2.2,97,1.3,37,0.487,6988,91.92,91,1.2,10,0.13,449,5.91,49,0.645,15,0.2,944,1130,3189,1657,682,12.4,14.9,41.9,21.8,9,2.9,0.088495575,4.045155221,1.086300543,6.158357771,4.3,1.4,0,0.2,7.1,0.3,0.9,1.2,4.2,7.4,383,2.030537589,272,2.206538493,111,1.698546289,6432,34.1003075,4044,32.80603553,2388,36.54169855,4124,21.86406532,3225,26.16208323,899,13.75669472,3549,18.8156081,2699,21.89502718,850,13.006886,4374,23.1894815,2087,16.93031557,2287,34.99617445,18862,12327,6535,"CELJE, MESTO"
20,59765,28408,31357,3237,12804,2122,3.6,56708,94.9,320,0.5,368,0.6,247,0.413,56854,95.13,825,1.38,56,0.09,1729,2.89,73,0.122,228,0.38,8267,8948,24241,13122,5187,13.8,15,40.6,22,8.7,2.4,0.659365221,2.702033744,1.40984606,6.824754193,3.1,1.8,0.8,0.5,4.8,0.7,1.2,1.6,3.8,8.7,15688,53.8958362,8453,46.54479379,7235,66.09116653,8020,27.55256287,6239,34.35383514,1781,16.26929752,2162,7.427511337,1843,10.1481196,319,2.914040376,827,2.841143328,536,2.951379329,291,2.658262538,2411,8.282946269,1090,6.001872144,1321,12.06723303,29108,18161,10947,"LJUBLJANA, MESTO"
21,33131,26629,28027,8841,11953,1219,3.7,30794,92.9,674,2,217,0.7,227,0.685,29621,89.41,575,1.74,50,0.15,2741,8.27,81,0.244,63,0.19,4759,5174,12560,7532,3106,14.4,15.6,37.9,22.7,9.4,4.4,0.251256281,2.380573248,1.898566118,8.692852543,3.2,2,0.3,0.2,4.2,0.3,2.1,1.8,6.4,10.4,24081,79.12012091,13568,76.19047619,10513,83.25150459,3180,10.4481535,2487,13.96563342,693,5.487804878,786,2.58246813,632,3.548966757,154,1.219512195,692,2.273623341,445,2.498876909,247,1.955970858,1697,5.575634117,676,3.796046721,1021,8.085207475,30436,17808,12628,"MARIBOR, MESTO"
22,4257,2039,2218,373,974,109,2.6,4021,94.5,84,2,18,0.4,25,0.587,3640,85.51,41,0.96,8,0.19,559,13.13,0,0,9,0.21,585,706,1470,957,539,13.7,16.6,34.5,22.5,12.7,3.2,0.991501416,1.700680272,1.985370951,12.43042672,2.9,3.5,0.7,1.4,2.7,0.8,1.4,2.4,11.3,13.1,4327,82.16862894,2318,77.81134609,2009,87.84433756,549,10.4253703,439,14.73648875,110,4.809794491,153,2.905431067,96,3.222557905,57,2.492348054,122,2.316748956,74,2.484055052,48,2.098819414,115,2.183820737,52,1.745552199,63,2.754700481,5266,2979,2287,"PTUJ, MESTO"
23,10536,4865,5671,2057,2091,44,0.4,8260,78.4,0,0,0,0,2232,21.185,10472,99.39,18,0.17,1,0.01,15,0.14,1,0.009,29,0.28,3208,1652,2879,1670,1127,30.4,15.7,27.3,15.9,10.7,9.7,1.997578692,4.06391108,13.53293413,29.63620231,6.9,11.9,2.2,1.8,2.8,5.1,8.7,16.3,22.1,36.2,25320,87.19608788,14996,84.7518933,10324,91.00846262,1788,6.15744886,1489,8.415282017,299,2.635754584,544,1.873407259,392,2.215440262,152,1.339915374,700,2.410634341,515,2.910591161,185,1.630818054,686,2.362421654,302,1.706793263,384,3.385049365,29038,17694,11344,METLIKA
24,52597,25357,27240,10424,11072,96,0.2,29980,57,22230,42.3,12,0,279,0.53,48895,92.96,70,0.13,1961,3.73,1403,2.67,0,0,268,0.51,12577,7381,15059,11057,6523,23.9,14,28.6,21,12.4,10.4,2.411597345,3.798392988,11.78438998,32.10179365,8.1,12.4,2.1,2.7,3.6,4,8.2,14.7,24.3,40.1,19034,72.96913935,10877,70.50625527,8157,76.53405892,3382,12.96530573,2677,17.35269333,705,6.614749484,926,3.549932912,620,4.018927854,306,2.871082755,895,3.431090665,516,3.344785117,379,3.556014262,1848,7.08453134,737,4.777338433,1111,10.42409458,26085,15427,10658,MURSKA SOBOTA
25,50405,24259,26146,9238,9950,71,0.1,50285,99.8,9,0,29,0.1,11,0.022,47921,95.07,79,0.16,2,0,2349,4.66,18,0.036,36,0.07,14282,7677,14803,8024,5619,28.3,15.2,29.4,15.9,11.1,6.1,1.654292041,1.979328514,5.483549352,23.97223705,5.8,6.3,2,1.3,2.3,1.7,5.3,5.6,21.7,26,32314,83.24488639,17609,80.12832181,14705,87.3114832,3426,8.825802463,2722,12.38623953,704,4.180026125,820,2.112422072,622,2.830360393,198,1.175632348,591,1.522489567,335,1.524390244,256,1.5200095,1667,4.294399505,688,3.130688023,979,5.81284883,38818,21976,16842,NOVO MESTO
26,71042,33073,37969,14731,14910,115,0.2,70830,99.7,62,0.1,1,0,34,0.048,70460,99.18,152,0.21,25,0.04,383,0.54,0,0,22,0.03,18972,10114,20437,13352,8167,26.7,14.2,28.8,18.8,11.5,4.1,1.898358711,1.981699858,3.437687238,13.12599486,3.4,4.6,1.9,1.9,1.8,2.2,3,3.8,10.2,15.5,102,3.924586379,59,3.808908974,43,4.095238095,782,30.08849558,511,32.98902518,271,25.80952381,432,16.62177761,273,17.62427372,159,15.14285714,522,20.08464794,360,23.24080052,162,15.42857143,761,29.2804925,346,22.33699161,415,39.52380952,2599,1549,1050,PTUJ
27,36322,17969,18353,5558,7954,254,0.7,35960,99,75,0.2,10,0,23,0.063,35817,98.61,123,0.34,7,0.02,333,0.92,5,0.014,37,0.1,8267,5219,12335,7087,3414,22.8,14.4,34,19.5,9.4,2.9,0.747269592,1.126874747,2.934951319,12.85881664,3,2.9,0.8,0.7,1.2,1.1,3.3,2.6,12.9,12.8,7406,37.09677419,4089,31.38142748,3317,47.83674647,8311,41.62993388,6488,49.79278588,1823,26.29074127,1628,8.154678421,1153,8.848810437,475,6.850302855,935,4.683430174,624,4.78894858,311,4.485145659,1684,8.43518333,676,5.188027629,1008,14.53706374,19964,13030,6934,RADOVLJICA
28,30246,14849,15397,4670,5529,117,0.4,30089,99.5,24,0.1,7,0,9,0.03,29909,98.89,47,0.16,3,0.01,274,0.91,3,0.01,10,0.03,8149,4728,9068,5173,3128,26.9,15.6,30,17.1,10.3,8,2.559221658,3.826643141,10.26483665,24.55242967,7.6,8.4,3,2.1,4,3.6,9.6,10.8,21.3,27.9,10339,63.89592732,5740,58.06190573,4599,73.05798253,3547,21.92077127,2871,29.04106818,676,10.73868149,715,4.418762746,546,5.522961764,169,2.684670373,514,3.176565107,273,2.761480882,241,3.828435266,1066,6.587973549,456,4.612583451,610,9.690230342,16181,9886,6295,SLOVENJGRADEC
29,45555,21632,23923,9098,9452,34,0.1,45498,99.9,13,0,2,0,8,0.018,45266,99.37,40,0.09,3,0.01,241,0.53,0,0,5,0.01,11640,6765,12746,8500,5904,25.6,14.9,28,18.7,13,6,2.084257206,3.342225012,5.929411765,16.0399729,5.9,6,2.3,1.9,3.9,2.9,6.4,5.6,13.7,18.2,20304,82.352464,11674,80.38284101,8630,85.17568101,2047,8.302575542,1663,11.45080218,384,3.789972365,487,1.975258568,349,2.403084762,138,1.362021319,534,2.165889272,328,2.258486539,206,2.033162258,1283,5.203812614,509,3.504785513,774,7.639163048,24655,14523,10132,ŠMARJE PRI JELŠAH
30,15640,7441,8199,2715,2744,15617,99.9,12,0.1,0,0,11,0.1,0,0,15626,99.91,3,0.02,1,0.01,0,0,1,0.006,9,0.06,5526,2123,4856,2314,821,35.3,13.6,31,14.8,5.2,60.1,40.79133302,58.48434926,72.81763181,84.28745432,31.6,84.7,12.4,64.7,28.4,86.2,42.8,94.9,69.6,97.7,6182,94.41050703,3979,92.66418258,2203,97.73735581,184,2.810018326,166,3.865859339,18,0.798580302,68,1.038485034,65,1.513740102,3,0.133096717,86,1.313378131,73,1.700046577,13,0.57675244,26,0.397067807,11,0.256171402,15,0.665483585,6548,4294,2254,ARILJE
31,26280,12738,13542,3726,3759,26154,99.5,20,0.1,1,0,104,0.4,1,0.004,26203,99.71,23,0.09,4,0.02,0,0,0,0,50,0.19,10300,3008,8142,3629,1201,39.2,11.4,31,13.8,4.6,63.9,42.38696809,63.74355195,74.78644255,85.59533722,33.7,90.7,13.3,70.7,32,93.2,44.8,97.4,69.3,99.2,10263,95.79055441,6580,94.28284855,3683,98.60776439,264,2.464065708,244,3.496202894,20,0.535475234,46,0.429344783,44,0.630462817,2,0.053547523,111,1.036027627,94,1.346897836,17,0.455153949,30,0.280007467,17,0.243587907,13,0.348058902,10714,6979,3735,AZBUKOVICA
32,78602,39591,39011,14316,14775,57038,72.6,2344,3,2074,2.6,16744,21.3,402,0.511,74427,94.69,360,0.46,737,0.94,2318,2.95,45,0.057,715,0.91,27389,12033,23429,12175,3576,34.8,15.3,29.8,15.5,4.5,58,39.57450345,57.95381792,68.78028747,83.86465324,37.2,79.2,20.9,58.9,35.2,82.3,47.6,88.6,74.3,92.4,27258,84.66795055,19524,82.82005599,7734,89.72157773,2197,6.824252966,1965,8.335454314,232,2.691415313,1035,3.214884761,909,3.855942988,126,1.461716937,829,2.575013978,690,2.926953423,139,1.612529002,875,2.717897745,486,2.061593281,389,4.512761021,32194,23574,8620,BIJELJINA
33,97962,49432,48530,16952,17275,34956,35.7,42208,43.1,109,0.1,20443,20.9,246,0.251,96957,98.97,232,0.24,362,0.37,294,0.3,45,0.046,72,0.07,34152,15742,28636,15288,4144,34.9,16.1,29.2,15.6,4.2,65,55.02477449,62.06523257,74.96075353,86.82432432,46.4,83.9,36.4,74.1,41,83.9,58.9,90.9,78.3,94.3,35386,86.9456252,25135,85.29591421,10251,91.2741519,1964,4.825671392,1739,5.901316683,225,2.003383492,1526,3.749477874,1350,4.581240668,176,1.567091087,825,2.027076832,636,2.158273381,189,1.682842133,998,2.452148701,608,2.063255056,390,3.472531386,40699,29468,11231,BRČKO
34,30123,15591,14532,5237,5466,8881,29.5,184,0.6,4,0,21046,69.9,8,0.027,29617,98.32,386,1.28,2,0.01,21,0.07,1,0.003,96,0.32,10542,4575,9233,4399,1374,35,15.2,30.7,14.6,4.6,77,58.77595628,78.80428896,86.81518527,94.68704512,67.4,87.4,50,68.5,67.2,91.1,78.5,95.8,91.6,98,12151,89.56291,8472,87.16946188,3679,95.60810811,551,4.061325275,487,5.010803581,64,1.663201663,219,1.614210953,203,2.088692252,16,0.415800416,245,1.805852436,216,2.222450869,29,0.753638254,401,2.955701334,341,3.508591419,60,1.559251559,13567,9719,3848,ČAJNIČE
35,16334,7869,8465,2930,2967,16290,99.7,36,0.2,0,0,6,0,2,0.012,16328,99.96,2,0.01,1,0.01,1,0.01,0,0,2,0.01,5358,2014,5080,2703,1179,32.8,12.3,31.1,16.5,7.2,65.7,54.816286,60.61023622,75.28671846,84.4783715,36.9,90.6,24.4,80.3,30.6,89.5,46.1,96.5,68.1,98.4,7180,95.97647373,4525,94.50710109,2655,98.58893427,163,2.178853095,149,3.111946533,14,0.51986632,52,0.695094239,50,1.04427736,2,0.074266617,66,0.882234995,54,1.127819549,12,0.445599703,20,0.267343938,10,0.208855472,10,0.371333086,7481,4788,2693,CRNA GORA
36,37125,17887,19238,6405,6269,37112,100,13,0,0,0,0,0,0,0,37086,99.89,7,0.02,0,0,1,0,0,0,31,0.08,13061,5191,10996,5597,2280,35.2,14,29.6,15.1,6.1,59.5,46.06048931,55.92033467,69.87671967,82.36842105,26.8,88,14.1,73.9,20.6,88.3,36.5,95.8,64.1,98.2,15635,97.59675406,9995,96.96352348,5640,98.7394958,178,1.111111111,145,1.406674428,33,0.577731092,90,0.561797753,85,0.824602251,5,0.087535014,108,0.674157303,75,0.727590221,33,0.577731092,9,0.056179775,8,0.077609624,1,0.017507003,16020,10308,5712,DRAGAČEVO
37,25146,13099,12047,4572,4743,566,2.3,15972,63.5,0,0,8587,34.1,21,0.084,25077,99.73,31,0.12,0,0,23,0.09,2,0.008,13,0.05,8887,3905,7309,3761,1284,35.3,15.5,29.1,15,5.1,75.3,65.83866837,74.46983171,82.55783036,87.38317757,66.9,84.4,57.7,74.8,64.4,85.1,75.2,90.9,84.1,91.1,9950,89.43820225,7152,89.33300025,2798,89.70823982,652,5.860674157,482,6.020484637,170,5.450464893,190,1.707865169,166,2.073444916,24,0.769477397,167,1.501123596,134,1.673744691,33,1.05803142,166,1.492134831,72,0.899325506,94,3.01378647,11125,8006,3119,FOJNICA
38,45749,22420,23329,8112,8173,44775,97.9,135,0.3,10,0,820,1.8,9,0.02,45297,99.01,63,0.14,30,0.07,37,0.08,9,0.02,313,0.68,17540,4904,14481,6855,1969,38.3,10.7,31.7,15,4.3,57.4,37.66313214,55.63842276,67.71699489,83.74809548,28.7,83.4,16,60.1,25.9,84.7,37.1,91.6,64.5,95.3,16551,90.23060568,11017,88.11485244,5534,94.76027397,869,4.737502044,781,6.24650084,88,1.506849315,284,1.548274546,269,2.151483644,15,0.256849315,323,1.760889713,253,2.023514357,70,1.198630137,316,1.722728016,183,1.463648724,133,2.27739726,18343,12503,5840,JADAR
39,14620,7640,6980,2519,2692,4740,32.4,1202,8.2,12,0.1,8616,58.9,50,0.342,14500,99.18,34,0.23,21,0.14,25,0.17,6,0.041,34,0.23,5435,2104,4403,2045,633,37.2,14.4,30.1,14,4.3,82.2,79.94296578,78.90074949,87.97066015,93.36492891,72.1,93.6,69,91.5,66.6,92.8,81,96.3,90.3,97.2,5494,90.33212759,4049,88.40611354,1445,96.20505992,235,3.863860572,210,4.585152838,25,1.664447403,206,3.387043736,197,4.301310044,9,0.599201065,98,1.611312068,85,1.855895197,13,0.86551265,49,0.805656034,39,0.851528384,10,0.665778961,6082,4580,1502,KLADANJ
40,32739,14769,15503,5853,5597,32699,99.9,38,0.1,0,0,2,0,0,0,32708,99.91,9,0.03,1,0,8,0.02,0,0,13,0.04,10952,4319,10073,5451,1944,33.5,13.2,30.8,16.6,5.9,58.8,37.43922204,55.92177107,71.89506513,84.97942387,29.1,85,11.1,61.9,24.7,85.5,40.8,95.9,66.4,98.7,14228,95.8179002,8936,94.19205228,5292,98.69451697,315,2.121354973,289,3.046273848,26,0.484893696,125,0.841807529,120,1.264888795,5,0.093248788,140,0.942824433,122,1.285970275,18,0.335695636,41,0.27611287,20,0.210814799,21,0.391644909,14849,9487,5362,KOLUBARA
