id,total_pop,total_men,total_women,houses,households,orthodox,orthodox_perc,rcatholic,rcatholic_perc,protestant,protestant_perc,muslim,muslim_perc,other_rel,other_rel_perc,srb_cro_svn,srb_cro_svn_perc,othr_slavic,othr_slavic_perc,hungarian,hungarian_perc,german,german_perc,albanian,albanian_perc,other_lang,other_lang_perc,age1,age2,age3,age4,age5,age1_perc,age2_perc,age3_perc,age4_perc,age5_perc,illiteracy_perc,illiteracy11_19_perc,illiteracy20_39_perc,illiteracy40_59_perc,illiteracy_60_perc,illiteracy_m_perc,illiteracy_f_perc,illiteracy_m_11_19_perc,illiteracy_f_11_19_perc,illiteracy_m_20_39_perc,illiteracy_f_20_39_perc,illiteracy_m_40_59_perc,illiteracy_f_40_59_perc,illiteracy_m_60_perc,illiteracy_f_60_perc,employed_agriculture,employed_agriculture_perc,employed_agriculture_men,employed_agriculture_men_perc,employed_agriculture_women,employed_agriculture_women_perc,employed_industry,employed_industry_perc,employed_industry_men,employed_industry_men_perc,employed_industry_women,employed_industry_women_perc,employed_commerce,employed_commerce_perc,employed_commerce_men,employed_commerce_men_perc,employed_commerce_women,employed_commerce_women_perc,employed_public_service,employed_public_service_perc,employed_public_service_men,employed_public_service_men_perc,employed_public_service_women,employed_public_service_women_perc,employed_other,employed_other_perc,employed_other_men,employed_other_men_perc,employed_other_women,employed_other_women_perc,employed_total,employed_men,employed_women,"srez,C,80"
201,52941,26150,26791,10527,11355,5803,11,46070,87,201,0.4,94,0.2,773,1.46,34735,65.61,2256,4.26,3059,5.78,12016,22.7,0,0,875,1.65,15010,7845,16531,9296,4259,28.4,14.8,31.2,17.6,8,19,8.234544296,13.48980703,26.10800344,44.47053299,17.1,20.8,8,8.5,11.7,15.2,23.1,28.8,42.4,46.5,20486,81.22596249,13367,77.81917681,7119,88.5007459,2895,11.4785298,2655,15.45671538,240,2.983590254,609,2.414654455,478,2.782790941,131,1.628543013,685,2.715990643,455,2.648890959,230,2.859273993,546,2.164862614,222,1.292425918,324,4.027846842,25221,17177,8044,ĐAKOVO
202,52258,25730,26528,11441,11908,686,1.3,51393,98.3,33,0.1,10,0,136,0.26,50855,97.32,130,0.25,697,1.33,51,0.1,0,0,525,1,11781,7170,16770,10681,5856,22.5,13.7,32.1,20.4,11.2,17.1,7.294281729,10.18485391,22.54470555,39.27595628,14.5,19.7,7,7.5,9.6,10.8,18.6,25.8,30.8,47.7,24003,87.35669833,15534,84.64472537,8469,92.8109589,1957,7.122320486,1824,9.938971229,133,1.457534247,517,1.88157368,404,2.201394943,113,1.238356164,423,1.539469374,321,1.74912816,102,1.117808219,577,2.09993813,269,1.465780296,308,3.375342466,27477,18352,9125,ĐURĐEVAC
203,40795,19865,20930,7245,7470,34,0.1,40611,99.5,57,0.1,0,0,93,0.228,40442,99.13,86,0.21,104,0.25,91,0.22,0,0,72,0.18,12248,6067,12322,7099,3059,30,14.9,30.2,17.4,7.5,35.5,14.04318444,26.4648596,56.30370475,66.42693691,24.4,45.7,8.7,19,15.1,36.8,39.5,69.7,56.1,79,18416,92.79451779,11352,90.91054697,7064,95.99130317,965,4.862440794,811,6.494754545,154,2.092675635,173,0.871712184,136,1.089132698,37,0.502785705,208,1.04807014,144,1.153199327,64,0.869683381,84,0.423259095,44,0.352366461,40,0.543552113,19846,12487,7359,DONJA STUBICA
204,16554,8083,8471,2629,2636,15047,90.9,1500,9.1,1,0,1,0,5,0.03,16548,99.96,3,0.02,1,0.01,1,0.01,0,0,1,0.01,5632,2563,4431,2434,1494,34,15.5,26.8,14.7,9,63.1,47.75653531,59.5802302,73.58258012,82.93172691,39.7,84.8,22.3,71.2,31.5,84.2,49.3,93.4,72.4,96.9,7617,96.56440162,4636,95.60734172,2981,98.09147746,90,1.140973631,71,1.464219427,19,0.62520566,29,0.367647059,23,0.474324603,6,0.197433366,98,1.242393509,79,1.629201897,19,0.62520566,54,0.684584178,40,0.824912353,14,0.460677855,7888,4849,3039,DONJI LAPAC
205,26961,13252,13709,5151,5697,4412,16.4,21937,81.4,358,1.3,1,0,253,0.938,24896,92.34,156,0.58,850,3.15,498,1.85,0,0,561,2.08,6785,3825,8616,5313,2422,25.2,14.2,32,19.7,9,18.7,9.019607843,14.21773445,21.83323922,42.73327828,16,21.2,8.8,9.3,11.3,17.1,17.8,25.4,40,45.4,11342,84.53454573,7333,81.00077322,4009,91.86526123,1172,8.735186703,1076,11.8855628,96,2.199816682,302,2.250875755,260,2.871976141,42,0.962419798,308,2.29559514,228,2.518502154,80,1.833180568,293,2.183796676,156,1.723185684,137,3.139321723,13417,9053,4364,DONJI MIHOLJAC
206,20360,10003,10357,4775,4982,75,0.4,20204,99.2,15,0.1,13,0.1,53,0.26,20207,99.25,44,0.22,40,0.2,27,0.13,0,0,42,0.21,3388,2624,6626,4928,2794,16.6,12.9,32.5,24.2,13.7,30.7,10.89939024,17.73317235,43.12094156,57.98138869,22,39,8.8,13.1,12.4,23,29.4,54.7,45.4,70.5,10519,89.90598291,6820,87.20112518,3699,95.35962877,604,5.162393162,562,7.185781869,42,1.082753287,278,2.376068376,253,3.23488045,25,0.644496004,170,1.452991453,127,1.623833269,43,1.108533127,129,1.102564103,59,0.754379235,70,1.804588812,11700,7821,3879,DUGO SELO
207,30971,14968,16003,6429,6707,6137,19.8,23038,74.4,1691,5.5,13,0,92,0.297,24512,79.15,2079,6.71,1989,6.42,1958,6.32,0,0,433,1.4,7370,4332,9802,6297,3170,23.8,14,31.6,20.3,10.2,23,10.43397969,15.53764538,31.52294744,46.62460568,17.8,27.9,9.5,11.4,11.8,19.1,24,37.3,36.4,56.6,14816,89.69065924,9139,86.51898135,5677,95.31564809,1053,6.374477874,986,9.334469374,67,1.124916051,234,1.416550639,191,1.808198428,43,0.721961048,210,1.271263394,154,1.457919152,56,0.940228341,206,1.247048853,93,0.880431696,113,1.897246474,16519,10563,5956,GAREŠNICA
208,45742,21675,24067,7559,8009,30606,66.9,15003,32.8,10,0,23,0.1,100,0.219,45425,99.31,34,0.07,9,0.02,18,0.04,0,0,256,0.56,13095,7159,14103,8027,3358,28.6,15.7,30.8,17.5,7.3,55.9,36.9884062,50.811884,71.54603214,80.61346039,32.2,76.4,14.8,58.9,23.5,73.8,48.3,89,70,91.2,22021,92.28093702,12426,89.45360305,9595,96.21941436,839,3.515903281,752,5.413577136,87,0.87244284,267,1.11888698,241,1.73493629,26,0.260730044,312,1.307463437,226,1.626952703,86,0.862414761,424,1.776809286,246,1.770930819,178,1.784997994,23863,13891,9972,GLINA
209,34060,15610,18450,6225,6669,16611,48.8,17428,51.2,0,0,10,0,11,0.032,33968,99.73,29,0.09,11,0.03,14,0.04,0,0,38,0.11,11158,5339,8749,5232,3582,32.8,15.7,25.7,15.4,10.5,47,19.98501592,40.77037376,63.58944954,78.25237298,26.8,62.3,8.4,30.1,15.2,57.6,33.8,82.9,65.6,91.7,13216,84.96303439,7017,81.11201017,6199,89.78852839,622,3.99871424,460,5.317304358,162,2.346465817,475,3.053680489,376,4.346318345,99,1.433951333,625,4.018000643,444,5.132354641,181,2.621668598,617,3.966570235,354,4.092012484,263,3.809385863,15555,8651,6904,GOSPIĆ
210,27859,13319,14540,4501,4596,19818,71.1,8020,28.8,5,0,2,0,14,0.05,27804,99.8,23,0.08,10,0.04,6,0.02,0,0,16,0.06,9670,4481,7220,3930,2558,34.7,16.1,25.9,14.1,9.2,63.8,47.71256416,60.51246537,73.71501272,86.04378421,40.5,83.8,23.9,68.9,31.1,83.6,48.5,93.8,77.3,96.3,11668,93.03883263,6816,90.13488495,4852,97.44928701,198,1.578821466,178,2.353874636,20,0.401687086,392,3.125747548,375,4.959005554,17,0.341434023,199,1.586795311,144,1.904258133,55,1.104639486,84,0.669803046,49,0.647976726,35,0.7029524,12541,7562,4979,GRAČAC
211,24179,11930,12249,5012,5191,11211,46.4,12776,52.8,118,0.5,3,0,71,0.294,17937,74.18,3526,14.58,2208,9.13,306,1.27,0,0,202,0.84,5833,3419,8166,4588,2173,24.1,14.1,33.8,19,9,30.8,16.0573267,24.13666422,40.12641674,59.13483663,22.5,38.8,11.6,20.1,15.8,32.7,28.9,49.7,50.8,68.1,11189,89.54065301,7240,86.75853805,3949,95.13370272,823,6.586107554,764,9.155182744,59,1.421344254,169,1.352432778,149,1.7855003,20,0.481811612,175,1.400448143,131,1.569802277,44,1.059985546,140,1.120358515,61,0.730976633,79,1.903155866,12496,8345,4151,GRUBIŠNO POLJE
212,45620,22737,22883,7742,8032,574,1.3,44895,98.4,15,0,73,0.2,63,0.138,45386,99.49,47,0.1,34,0.07,57,0.12,17,0.037,79,0.17,13334,7039,14156,8055,3036,29.2,15.4,31,17.7,6.7,34.4,16.72112516,28.58858435,48.31781502,65.085639,25,43.6,9.7,23.3,18.5,38.7,37,58.6,55.8,77.1,19486,87.00660832,12111,82.75932759,7375,95.01417161,926,4.134666905,811,5.541888752,115,1.481576913,218,0.973388105,156,1.06601066,62,0.798763205,452,2.018217539,303,2.070520705,149,1.919608348,1314,5.867119128,1253,8.562252289,61,0.785879928,22396,14634,7762,IVANEC
213,38009,17728,20281,7277,7492,85,0.2,32882,86.5,5,0,7,0,5030,13.234,37807,99.47,28,0.07,17,0.04,24,0.06,0,0,133,0.35,11421,5386,11074,6337,3791,30,14.2,29.1,16.7,10,27.9,8.336427776,15.81181145,44.13760454,63.72988657,19.5,34.6,5.9,10.7,10.3,20.2,28.6,53.9,51.8,75.1,17429,91.21310446,9705,88.24331697,7724,95.2404439,728,3.809922546,635,5.77377705,93,1.146732429,308,1.611890308,246,2.236770322,62,0.764488286,353,1.847393762,220,2.000363702,133,1.639950678,290,1.517688926,192,1.745771959,98,1.20838471,19108,10998,8110,JASTREBARSKO
214,43443,20120,23323,7364,7964,565,1.3,42759,98.4,28,0.1,14,0,77,0.177,42772,98.46,86,0.2,19,0.04,113,0.26,0,0,453,1.04,13160,6732,12870,7022,3659,30.3,15.5,29.6,16.2,8.4,35,13.7254902,23.09246309,57.40529764,73.43536485,25.6,42.7,11.5,15.9,17.5,27.7,37.7,69.4,60.8,85.3,19507,88.67624329,10748,86.36400161,8759,91.68847482,1688,7.673424857,1208,9.706709522,480,5.024599602,300,1.363760342,218,1.751707513,82,0.858369099,208,0.945540504,129,1.036560868,79,0.826965351,295,1.341031003,142,1.14102049,153,1.601591123,21998,12445,9553,KARLOVAC
215,21210,10879,10331,2285,4588,2565,12.1,17845,84.1,89,0.4,126,0.6,585,2.758,20317,95.79,274,1.29,121,0.57,293,1.38,16,0.075,189,0.89,4143,3529,8403,3696,1439,19.5,16.6,39.6,17.4,6.8,15.2,4.27883253,11.23408307,24.97294372,40.514246,10.6,20.1,3.8,4.8,9.3,13.6,14.2,33.7,30.6,48.6,2939,25.62113155,1826,23.07886754,1113,31.27282945,4362,38.02632726,3164,39.98988878,1198,33.66114077,1232,10.74012728,964,12.18402427,268,7.530205114,1787,15.57841513,1453,18.36450961,334,9.384658612,1151,10.03399878,505,6.382709808,646,18.15116606,11471,7912,3559,"KARLOVAC, GRAD"
216,10535,5161,5374,1981,2223,182,1.7,10336,98.1,0,0,9,0.1,8,0.076,10481,99.49,11,0.1,3,0.03,5,0.05,0,0,35,0.33,2119,1567,3652,2009,1188,20.1,14.9,34.7,19.1,11.3,15.3,1.212507977,2.902519168,22.54853161,59.76430976,9.2,21,1.9,0.6,2.4,3.4,10.4,31.9,39.4,78.5,3628,60.41631973,1965,52.21897422,1663,74.17484389,1649,27.46044963,1251,33.24475153,398,17.75200714,257,4.279766861,207,5.500930109,50,2.23015165,357,5.945045795,299,7.945787935,58,2.586975914,114,1.898417985,41,1.089556205,73,3.256021409,6005,3763,2242,KASTAV
217,28568,14173,14395,5309,5501,14,0,28538,99.9,1,0,0,0,15,0.053,28537,99.89,9,0.03,5,0.02,17,0.06,0,0,0,0,8384,4320,7940,5008,2916,29.3,15.1,27.8,17.5,10.2,20.8,6.50462963,14.0302267,28.95367412,46.63923182,14.5,26.9,4.8,8.2,9.3,18.5,17.5,38.8,36,58.9,13436,94.52652315,8364,93.33779712,5072,96.5543499,387,2.722667792,319,3.55987055,68,1.294498382,171,1.203039257,140,1.562325633,31,0.590138968,179,1.259321795,113,1.261019975,66,1.2564249,41,0.288448009,25,0.27898672,16,0.304587855,14214,8961,5253,KLANJEC
218,44615,22091,22524,9094,9829,4967,11.1,38911,87.2,411,0.9,4,0,322,0.722,43295,97.04,77,0.17,685,1.54,23,0.05,1,0.002,534,1.2,9892,6208,13554,9560,5401,22.2,13.9,30.4,21.4,12.1,19.6,10.82474227,14.659879,22.83472803,36.34512127,17.1,22,10.7,11,12.8,16.4,19.1,26.1,31.4,41.4,21371,88.49641807,13571,85.51893629,7800,94.20289855,1687,6.985796513,1530,9.641439284,157,1.896135266,364,1.507308791,298,1.877875102,66,0.797101449,315,1.304401839,231,1.455668284,84,1.014492754,412,1.706074786,239,1.506081039,173,2.089371981,24149,15869,8280,KOPRIVNICA
219,9472,4741,4731,1705,2281,274,2.9,8705,91.9,26,0.3,6,0.1,461,4.867,9179,96.91,123,1.3,72,0.76,86,0.91,0,0,12,0.13,1774,1535,3139,1956,1068,18.7,16.2,33.1,20.7,11.3,12.1,5.407166124,9.652755655,12.67893661,27.80898876,10.1,14,5.9,4.9,7.9,11.3,10.5,14.7,23,32.1,2625,51.81602842,1599,47.12643678,1026,61.32695756,1140,22.50296092,939,27.67462423,201,12.01434549,513,10.12633241,417,12.29000884,96,5.73819486,380,7.500986972,259,7.633362806,121,7.232516438,408,8.053691275,179,5.275567345,229,13.68798565,5066,3393,1673,"KOPRIVNICA, GRAD"
